0,0,3,0
0,1,59,0
0,2,58,0
0,3,18,0
0,4,19,0
0,5,51,0
0,6,39,0
0,7,47,0
0,8,36,0
0,9,9,0
0,10,57,0
0,11,49,0
0,12,23,0
0,13,40,0
0,14,21,0
0,15,4,1
1,0,30,3
1,1,180,0
1,2,143,1
1,3,203,0
1,4,190,2
1,5,133,3
1,6,229,3
1,7,98,0
1,8,97,2
1,9,193,1
1,10,158,0
1,11,61,3
1,12,86,2
1,13,200,1
1,14,145,0
1,15,29,1
2,0,52,3
2,1,109,1
2,2,152,3
2,3,160,1
2,4,241,3
2,5,198,3
2,6,113,2
2,7,255,2
2,8,128,1
2,9,76,1
2,10,197,2
2,11,172,3
2,12,156,0
2,13,155,2
2,14,187,3
2,15,28,1
3,0,6,3
3,1,104,2
3,2,134,1
3,3,82,1
3,4,153,2
3,5,90,3
3,6,230,1
3,7,120,0
3,8,63,1
3,9,75,3
3,10,117,1
3,11,201,1
3,12,94,1
3,13,195,0
3,14,206,2
3,15,60,1
4,0,20,3
4,1,173,3
4,2,126,3
4,3,242,1
4,4,189,0
4,5,177,0
4,6,175,2
4,7,243,2
4,8,74,3
4,9,231,2
4,10,119,3
4,11,184,3
4,12,96,3
4,13,132,1
4,14,205,2
4,15,35,1
5,0,24,3
5,1,124,0
5,2,131,2
5,3,168,2
5,4,227,2
5,5,174,0
5,6,144,1
5,7,204,1
5,8,87,0
5,9,217,2
5,10,103,3
5,11,135,2
5,12,249,0
5,13,111,3
5,14,166,1
5,15,56,1
6,0,10,3
6,1,236,0
6,2,233,0
6,3,226,0
6,4,116,1
6,5,210,0
6,6,138,3
6,7,183,3
6,8,196,2
6,9,163,1
6,10,225,1
6,11,191,1
6,12,215,2
6,13,237,1
6,14,179,3
6,15,13,1
7,0,41,3
7,1,93,0
7,2,77,2
7,3,207,0
7,4,214,0
7,5,70,0
7,6,141,2
7,7,169,1
7,8,110,1
7,9,140,3
7,10,167,2
7,11,148,0
7,12,65,0
7,13,64,0
7,14,69,0
7,15,5,1
8,0,32,3
8,1,159,1
8,2,142,1
8,3,106,1
8,4,232,1
8,5,216,3
8,6,194,1
8,7,139,3
8,8,127,3
8,9,181,3
8,10,221,3
8,11,208,3
8,12,150,3
8,13,81,0
8,14,67,2
8,15,7,1
9,0,26,3
9,1,68,2
9,2,162,3
9,3,136,0
9,4,114,2
9,5,121,0
9,6,251,3
9,7,165,3
9,8,66,0
9,9,72,2
9,10,188,0
9,11,123,0
9,12,108,2
9,13,105,0
9,14,101,2
9,15,22,1
10,0,25,3
10,1,99,0
10,2,62,1
10,3,154,1
10,4,218,1
10,5,238,1
10,6,202,1
10,7,78,1
10,8,164,3
10,9,151,3
10,10,234,2
10,11,254,3
10,12,211,0
10,13,147,1
10,14,247,3
10,15,31,1
11,0,12,3
11,1,256,2
11,2,80,3
11,3,137,3
11,4,149,2
11,5,240,3
11,6,192,3
11,7,92,3
11,8,253,1
11,9,224,0
11,10,83,0
11,11,88,0
11,12,79,2
11,13,161,3
11,14,250,0
11,15,44,1
12,0,38,3
12,1,222,2
12,2,246,1
12,3,245,0
12,4,71,0
12,5,219,2
12,6,73,1
12,7,235,3
12,8,252,2
12,9,91,1
12,10,129,1
12,11,112,1
12,12,118,1
12,13,100,3
12,14,89,3
12,15,46,1
13,0,55,3
13,1,220,2
13,2,115,1
13,3,248,0
13,4,209,3
13,5,228,2
13,6,84,3
13,7,176,1
13,8,185,0
13,9,95,3
13,10,107,3
13,11,122,0
13,12,102,2
13,13,223,0
13,14,182,3
13,15,14,1
14,0,50,3
14,1,130,2
14,2,244,0
14,3,170,1
14,4,213,0
14,5,212,0
14,6,146,1
14,7,85,1
14,8,186,2
14,9,125,1
14,10,239,3
14,11,199,1
14,12,171,0
14,13,178,2
14,14,157,0
14,15,37,1
15,0,1,3
15,1,34,2
15,2,42,2
15,3,8,2
15,4,54,2
15,5,43,2
15,6,16,2
15,7,27,2
15,8,33,2
15,9,15,2
15,10,11,2
15,11,17,2
15,12,53,2
15,13,48,2
15,14,45,2
15,15,2,2
